Outlet,ReceiptNumber,Date,Time,Category,Items,Quantity,Discounts,NetSales,SalesType,PaymentMethod
Agus Salim,TSBZJA,1/1/2023,13:32:04,Signature Coffee,Kopi Rakyat,2,0.0,40000.0,Dine In,Cash
Agus Salim,TSBZJB,1/1/2023,13:32:38,Espresso Based,Coffee Latte,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZJC,1/1/2023,13:49:22,Espresso Based,Black Coffee,1,0.0,25000.0,Dine In,Gopay
Agus Salim,TSBZJD,1/1/2023,13:53:16,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Take Away,Cash
Agus Salim,TSBZJD,1/1/2023,13:53:16,Espresso Based,Coffee Latte,1,0.0,26000.0,Take Away,Cash
Agus Salim,TSBZJE,1/1/2023,14:00:52,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZJF,1/1/2023,14:01:54,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Take Away,Gopay
Agus Salim,TSBZJG,1/1/2023,14:05:03,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,BCA
Agus Salim,TSBZJI,1/1/2023,14:31:22,Mocktail,Red Berries,1,0.0,33000.0,Dine In,BCA
Agus Salim,TSBZJI,1/1/2023,14:31:22,Side Dish,Sosis Bakar,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZJI,1/1/2023,14:31:22,Dimsum,Dimsum Mentai,1,0.0,30000.0,Dine In,BCA
Agus Salim,TSBZJI,1/1/2023,14:31:22,Dessert,Pisang Goreng Caramel,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZJI,1/1/2023,14:31:22,Chocolate,Choco Paddle,1,0.0,30000.0,Dine In,BCA
Agus Salim,TSBZJI,1/1/2023,14:31:22,Tea,Lychee Tea,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZJJ,1/1/2023,14:34:45,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZJJ,1/1/2023,14:34:45,Side Dish,Sosis Bakar,1,0.0,28000.0,Dine In,Gopay
Agus Salim,TSBZJJ,1/1/2023,14:34:45,Main Course,Bolognaise,1,0.0,40000.0,Dine In,Gopay
Agus Salim,TSBZJJ,1/1/2023,14:34:45,Espresso Based,Vanilla Latte,1,0.0,30000.0,Dine In,Gopay
Agus Salim,TSBZJJ,1/1/2023,14:34:45,Espresso Based,Caramel Macchiato,1,0.0,35000.0,Dine In,Gopay
Agus Salim,TSBZJL,1/1/2023,14:37:01,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZJL,1/1/2023,14:37:01,Milk Based,Matcha Latte,2,0.0,56000.0,Take Away,Gopay
Agus Salim,TSBZJL,1/1/2023,14:37:01,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Take Away,Gopay
Agus Salim,TSBZJN,1/1/2023,14:39:32,GoFood ,Kopi Rakyat ,2,0.0,36000.0,GoFood,GoFood
Agus Salim,TSBZJO,1/1/2023,14:40:39,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Dine In,Gopay
Agus Salim,TSBZJO,1/1/2023,14:40:39,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZJP,1/1/2023,14:41:51,Espresso Based,Black Coffee,1,0.0,22000.0,Dine In,Cash
Agus Salim,TSBZJQ,1/1/2023,14:43:40,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZJR,1/1/2023,14:59:03,Main Course,Carbonara,1,0.0,48000.0,Dine In,BCA
Agus Salim,TSBZJS,1/1/2023,15:01:11,Chocolate,Choco Origin,1,0.0,25000.0,Take Away,BCA
Agus Salim,TSBZJS,1/1/2023,15:01:11,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Take Away,BCA
Agus Salim,TSBZJS,1/1/2023,15:01:11,Signature Coffee,Kopi Sultan,1,0.0,27000.0,Take Away,BCA
Agus Salim,TSBZJS,1/1/2023,15:01:11,Milk Based,Mango Milk,1,0.0,25000.0,Take Away,BCA
Agus Salim,TSBZJU,1/1/2023,15:06:11,Milk Based,Matcha Latte,1,0.0,28000.0,Dine In,Cash
Agus Salim,TSBZJX,1/1/2023,15:18:22,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZJX,1/1/2023,15:18:22,Milk Based,Matcha Latte,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZJY,1/1/2023,15:43:10,Shopee ,Pisang Goreng Caramel ,1,0.0,28000.0,Shopee Food,ShopeeFood
Agus Salim,TSBZJZ,1/1/2023,15:43:16,Shopee ,Pisang Goreng Caramel ,1,0.0,28000.0,Shopee Food,ShopeeFood
Agus Salim,TSBZK0,1/1/2023,15:44:18,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZK0,1/1/2023,15:44:18,Signature Coffee,Kopi Dewan,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZK1,1/1/2023,15:46:31,Side Dish,French Fries,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZK1,1/1/2023,15:46:31,Mocktail,Red Berries,1,0.0,33000.0,Dine In,BCA
Agus Salim,TSBZK3,1/1/2023,15:50:09,Tea,Lemon Tea,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZK3,1/1/2023,15:50:09,Tea,Lychee Tea,2,0.0,52000.0,Dine In,BCA
Agus Salim,TSBZK3,1/1/2023,15:50:09,Main Course,Bolognaise,1,0.0,40000.0,Dine In,BCA
Agus Salim,TSBZK3,1/1/2023,15:50:09,Main Course,Carbonara,1,0.0,48000.0,Dine In,BCA
Agus Salim,TSBZK3,1/1/2023,15:50:09,Side Dish,French Fries,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZK5,1/1/2023,16:05:26,Dimsum,Dimsum Mix,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZK5,1/1/2023,16:05:26,Main Course,Bolognaise,1,0.0,40000.0,Dine In,BCA
Agus Salim,TSBZK5,1/1/2023,16:05:26,Dessert,Pisang Goreng Caramel,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZK5,1/1/2023,16:05:26,Milk Based,Mango Milk,1,0.0,25000.0,Dine In,BCA
Agus Salim,TSBZK5,1/1/2023,16:05:26,Main Course,Carbonara,1,0.0,48000.0,Dine In,BCA
Agus Salim,TSBZK5,1/1/2023,16:05:26,Espresso Based,Coffee Latte,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZK6,1/1/2023,16:05:45,GoFood ,Red Velvet Latte ,1,0.0,25000.0,GoFood,GoFood
Agus Salim,TSBZK6,1/1/2023,16:05:45,GoFood ,Pisang Goreng Caramel ,1,0.0,33600.0,GoFood,GoFood
Agus Salim,TSBZK7,1/1/2023,16:07:31,Milk Based,Matcha Latte,1,0.0,28000.0,Dine In,Gopay
Agus Salim,TSBZK8,1/1/2023,16:10:42,Main Course,Carbonara,1,0.0,48000.0,Dine In,Cash
Agus Salim,TSBZK8,1/1/2023,16:10:42,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZK8,1/1/2023,16:10:42,Dimsum,Dimsum Mix,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZK8,1/1/2023,16:10:42,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZK9,1/1/2023,16:15:36,Chocolate,Choco Paddle,1,0.0,28000.0,Dine In,Gopay
Agus Salim,TSBZKA,1/1/2023,16:25:14,Milk Based,Red Velvet Latte,1,0.0,32000.0,Dine In,BCA
Agus Salim,TSBZKA,1/1/2023,16:25:14,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Dine In,BCA
Agus Salim,TSBZKA,1/1/2023,16:25:14,Dimsum,Dimsum Mentai,1,0.0,30000.0,Dine In,BCA
Agus Salim,TSBZKC,1/1/2023,17:03:05,Milk Based,Matcha Latte,1,0.0,32000.0,Dine In,Gopay
Agus Salim,TSBZKC,1/1/2023,17:03:05,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Dine In,Gopay
Agus Salim,TSBZKE,1/1/2023,17:13:41,Signature Coffee,Kopi Dewan,1,0.0,32000.0,Dine In,BCA
Agus Salim,TSBZKF,1/1/2023,17:22:55,GoFood ,Kopi Sultan ,1,0.0,24000.0,GoFood,GoFood
Agus Salim,TSBZKF,1/1/2023,17:22:55,GoFood ,Kopi Rakyat ,2,0.0,36000.0,GoFood,GoFood
Agus Salim,TSBZKG,1/1/2023,17:25:37,Chocolate,Choco Origin,1,0.0,25000.0,Dine In,BCA
Agus Salim,TSBZKG,1/1/2023,17:25:37,Milk Based,Mango Milk,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZKH,1/1/2023,17:29:01,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZKI,1/1/2023,17:31:41,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,BCA
Agus Salim,TSBZKJ,1/1/2023,17:33:10,Signature Coffee,Kopi Sultan,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZKK,1/1/2023,17:37:14,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,BCA
Agus Salim,TSBZKL,1/1/2023,17:38:05,Chocolate,Choco Origin,1,0.0,25000.0,Dine In,Cash
Agus Salim,TSBZKO,1/1/2023,18:00:27,Milk Based,Red Velvet Latte,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZKP,1/1/2023,18:12:08,Main Course,Bolognaise,2,0.0,80000.0,Dine In,Gopay
Agus Salim,TSBZKP,1/1/2023,18:12:08,Tea,Lemon Tea,2,0.0,52000.0,Dine In,Gopay
Agus Salim,TSBZKR,1/1/2023,18:44:10,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZKS,1/1/2023,18:45:54,Side Dish,Sosis Bakar,1,0.0,28000.0,Take Away,BCA
Agus Salim,TSBZKU,1/1/2023,19:27:25,Milk Based,Mango Milk,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZKU,1/1/2023,19:27:25,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZKV,1/1/2023,19:34:21,GoFood ,Kopi Rakyat ,3,0.0,54000.0,GoFood,GoFood
Agus Salim,TSBZKW,1/1/2023,19:34:33,GoFood ,Choco Vanilla ,1,0.0,25000.0,GoFood,GoFood
Agus Salim,TSBZKW,1/1/2023,19:34:33,GoFood ,Kopi Sultan ,1,0.0,28000.0,GoFood,GoFood
Agus Salim,TSBZKX,1/1/2023,19:38:16,Espresso Based,Caramel Macchiato,1,0.0,35000.0,Dine In,BCA
Agus Salim,TSBZKX,1/1/2023,19:38:16,Dessert,Pisang Goreng Caramel,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZKY,1/1/2023,19:47:33,Chocolate,Choco Origin,1,0.0,25000.0,Dine In,Gopay
Agus Salim,TSBZKY,1/1/2023,19:47:33,Tea,Lychee Tea,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZL0,1/1/2023,19:50:32,Milk Based,Matcha Latte,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZL0,1/1/2023,19:50:32,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZL0,1/1/2023,19:50:32,Chocolate,Choco Origin,1,0.0,25000.0,Dine In,Cash
Agus Salim,TSBZL2,1/1/2023,19:54:49,GoFood ,Kopi Rakyat ,2,0.0,36000.0,GoFood,GoFood
Agus Salim,TSBZL3,1/1/2023,19:56:16,Signature Coffee,Kopi Rakyat,2,0.0,40000.0,Dine In,BCA
Agus Salim,TSBZL4,1/1/2023,19:59:59,Chocolate,Choco Vanilla,1,0.0,28000.0,Dine In,Cash
Agus Salim,TSBZL4,1/1/2023,19:59:59,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZL4,1/1/2023,19:59:59,Dimsum,Dimsum Mix,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZL4,1/1/2023,19:59:59,Espresso Based,Black Coffee,1,0.0,22000.0,Dine In,Cash
Agus Salim,TSBZL4,1/1/2023,19:59:59,Dessert,Pisang Goreng Caramel,1,0.0,28000.0,Dine In,Cash
Agus Salim,TSBZL6,1/1/2023,20:09:45,Espresso Based,Coffee Latte,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZL6,1/1/2023,20:09:45,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZL7,1/1/2023,20:11:41,Espresso Based,Caramel Macchiato,1,0.0,35000.0,Dine In,BCA
Agus Salim,TSBZL7,1/1/2023,20:11:41,Espresso Based,Hazelnut Latte,1,0.0,30000.0,Dine In,BCA
Agus Salim,TSBZL8,1/1/2023,20:16:17,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZLA,1/1/2023,20:20:36,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZLA,1/1/2023,20:20:36,Espresso Based,Caramel Macchiato,1,0.0,35000.0,Dine In,Cash
Agus Salim,TSBZLB,1/1/2023,20:21:53,Milk Based,Red Velvet Latte,1,0.0,32000.0,Dine In,Gopay
Agus Salim,TSBZLC,1/1/2023,20:26:05,Milk Based,Mango Milk,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZLC,1/1/2023,20:26:05,Milk Based,Thai Tea,2,0.0,50000.0,Dine In,BCA
Agus Salim,TSBZLD,1/1/2023,20:27:55,Tea,Lychee Tea,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZLD,1/1/2023,20:27:55,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZLE,1/1/2023,20:33:37,Espresso Based,Black Coffee,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZLE,1/1/2023,20:33:37,Milk Based,Mango Milk,1,0.0,25000.0,Dine In,Cash
Agus Salim,TSBZLF,1/1/2023,20:35:30,Chocolate,Choco Origin,1,0.0,30000.0,Dine In,Cash
Agus Salim,TSBZLF,1/1/2023,20:35:30,Milk Based,Mango Milk,1,0.0,28000.0,Dine In,Cash
Agus Salim,TSBZLG,1/1/2023,20:41:18,Milk Based,Raspberry Milk,1,0.0,28000.0,Dine In,Gopay
Agus Salim,TSBZLG,1/1/2023,20:41:18,Espresso Based,Coffee Latte,1,0.0,30000.0,Dine In,Gopay
Agus Salim,TSBZLG,1/1/2023,20:41:18,Dimsum,Dimsum Mix,2,0.0,52000.0,Dine In,Gopay
Agus Salim,TSBZLG,1/1/2023,20:41:18,Side Dish,French Fries,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZLG,1/1/2023,20:41:18,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZLG,1/1/2023,20:41:18,Tea,Lychee Tea,1,0.0,18000.0,Dine In,Gopay
Agus Salim,TSBZLG,1/1/2023,20:41:18,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZLH,1/1/2023,20:42:11,Signature Coffee,Kopi Sultan,3,0.0,81000.0,Take Away,Gopay
Agus Salim,TSBZLI,1/1/2023,20:48:57,Dimsum,Dimsum Mix,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZLK,1/1/2023,20:51:30,Chocolate,Choco Origin,1,0.0,25000.0,Dine In,Gopay
Agus Salim,TSBZLK,1/1/2023,20:51:30,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZLL,1/1/2023,20:52:47,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZLL,1/1/2023,20:52:47,Milk Based,Mango Milk,1,0.0,28000.0,Dine In,Gopay
Agus Salim,TSBZLM,1/1/2023,20:55:52,Side Dish,French Fries,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZM6,1/2/2023,10:38:36,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZM8,1/2/2023,10:44:56,Espresso Based,Coffee Latte,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZM8,1/2/2023,10:44:56,Side Dish,French Fries,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZM8,1/2/2023,10:44:56,Signature Coffee,Kopi Rakyat,2,0.0,40000.0,Dine In,Gopay
Agus Salim,TSBZM9,1/2/2023,11:09:06,GoFood ,Kopi Rakyat ,3,0.0,54000.0,GoFood,GoFood
Agus Salim,TSBZMB,1/2/2023,11:35:33,Shopee , ,1,0.0,48000.0,Shopee Food,ShopeeFood
Agus Salim,TSBZMC,1/2/2023,11:40:33,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZME,1/2/2023,12:07:51,Signature Coffee,Kopi Sultan,1,2700.0,24300.0,Dine In,Gopay
Agus Salim,TSBZMF,1/2/2023,12:08:59,GoFood ,Hazelnut Latte ,1,0.0,25000.0,GoFood,GoFood
Agus Salim,TSBZMF,1/2/2023,12:08:59,GoFood ,Black Coffee ,1,0.0,19000.0,GoFood,GoFood
Agus Salim,TSBZMI,1/2/2023,12:52:27,Milk Based,Matcha Latte,1,0.0,28000.0,Dine In,Cash
Agus Salim,TSBZMI,1/2/2023,12:52:27,Tea,Lychee Tea,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZMI,1/2/2023,12:52:27,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZMK,1/2/2023,12:59:08,Tea,Lychee Tea,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZMM,1/2/2023,13:44:09,Signature Coffee,Kopi Sultan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZMO,1/2/2023,13:52:22,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZMP,1/2/2023,13:55:54,Espresso Based,Caramel Macchiato,1,0.0,35000.0,Dine In,Cash
Agus Salim,TSBZMR,1/2/2023,14:19:21,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,BCA
Agus Salim,TSBZMS,1/2/2023,14:21:59,Signature Coffee,Kopi Sultan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZMS,1/2/2023,14:21:59,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZMT,1/2/2023,14:23:43,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZMT,1/2/2023,14:23:43,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZMV,1/2/2023,14:42:31,Side Dish,French Fries,2,0.0,52000.0,Dine In,BCA
Agus Salim,TSBZMX,1/2/2023,14:47:27,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZMY,1/2/2023,14:55:36,Milk Based,Thai Tea,1,0.0,25000.0,Take Away,Cash
Agus Salim,TSBZMZ,1/2/2023,14:57:08,Espresso Based,Black Coffee,1,0.0,22000.0,Dine In,BCA
Agus Salim,TSBZN0,1/2/2023,15:00:59,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZN0,1/2/2023,15:00:59,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZN0,1/2/2023,15:00:59,Signature Coffee,Kopi Dewan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZN0,1/2/2023,15:00:59,Dessert,Pisang Goreng Caramel,1,0.0,28000.0,Dine In,Cash
Agus Salim,TSBZN2,1/2/2023,15:03:59,Side Dish,French Fries,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZN4,1/2/2023,15:34:55,Milk Based,Matcha Latte,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZN4,1/2/2023,15:34:55,Milk Based,Red Velvet Latte,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZN6,1/2/2023,15:44:54,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZN6,1/2/2023,15:44:54,Milk Based,Mango Milk,1,0.0,25000.0,Dine In,Cash
Agus Salim,TSBZN7,1/2/2023,15:49:00,Signature Coffee,Kopi Sultan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZN8,1/2/2023,15:55:07,Tea,Lychee Tea,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZN9,1/2/2023,16:08:49,Signature Coffee,Kopi Rakyat,2,0.0,40000.0,Take Away,Cash
Agus Salim,TSBZN9,1/2/2023,16:08:49,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZNA,1/2/2023,16:37:33,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZNB,1/2/2023,16:38:41,GoFood ,Dimsum Mix ,1,0.0,31200.0,GoFood,GoFood
Agus Salim,TSBZNB,1/2/2023,16:38:41,GoFood ,French Fries ,1,0.0,31200.0,GoFood,GoFood
Agus Salim,TSBZNC,1/2/2023,16:43:45,Side Dish,Sosis Bakar,1,0.0,28000.0,Dine In,BCA
Agus Salim,TSBZND,1/2/2023,16:50:33,Tea,Lychee Tea,1,0.0,26000.0,Dine In,Gopay
Agus Salim,TSBZNG,1/2/2023,17:27:41,Shopee ,Chicken Wings ,1,0.0,37000.0,Dine In,ShopeeFood
Agus Salim,TSBZNI,1/2/2023,17:58:31,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZNJ,1/2/2023,19:02:58,Milk Based,Matcha Latte,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZNJ,1/2/2023,19:02:58,Signature Coffee,Kopi Sultan,1,0.0,27000.0,Dine In,Cash
Agus Salim,TSBZNJ,1/2/2023,19:02:58,Signature Coffee,Kopi Dewan,1,0.0,32000.0,Take Away,Cash
Agus Salim,TSBZNK,1/2/2023,19:03:21,Shopee ,French Fries ,1,0.0,26000.0,Shopee Food,ShopeeFood
Agus Salim,TSBZNL,1/2/2023,19:04:06,Espresso Based,Caramel Macchiato,1,0.0,35000.0,Dine In,Cash
Agus Salim,TSBZNM,1/2/2023,19:18:34,Shopee ,Pisang Goreng Caramel ,1,0.0,28000.0,Shopee Food,ShopeeFood
Agus Salim,TSBZNM,1/2/2023,19:18:34,Shopee ,French Fries ,1,0.0,26000.0,Shopee Food,ShopeeFood
Agus Salim,TSBZNO,1/2/2023,19:18:45,GoFood ,Kopi Dewan ,1,0.0,24000.0,GoFood,GoFood
Agus Salim,TSBZNO,1/2/2023,19:18:45,GoFood ,Kopi Rakyat ,3,0.0,54000.0,GoFood,GoFood
Agus Salim,TSBZNP,1/2/2023,19:18:54,GoFood , ,1,0.0,48000.0,GoFood,GoFood
Agus Salim,TSBZNP,1/2/2023,19:18:54,GoFood ,Kopi Rakyat ,2,0.0,36000.0,GoFood,GoFood
Agus Salim,TSBZNP,1/2/2023,19:18:54,GoFood ,Dimsum Mentai ,2,0.0,72000.0,GoFood,GoFood
Agus Salim,TSBZNQ,1/2/2023,19:26:54,Signature Coffee,Kopi Rakyat,2,0.0,40000.0,Dine In,Gopay
Agus Salim,TSBZNR,1/2/2023,19:40:12,Signature Coffee,Kopi Rakyat,1,0.0,26000.0,Dine In,Cash
Agus Salim,TSBZNS,1/2/2023,19:44:19,Espresso Based,Vanilla Latte,1,0.0,28000.0,Dine In,Gopay
Agus Salim,TSBZNT,1/2/2023,19:47:37,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Gopay
Agus Salim,TSBZNU,1/2/2023,19:56:22,Main Course,Carbonara,1,0.0,48000.0,Dine In,BCA
Agus Salim,TSBZNV,1/2/2023,19:58:15,Signature Coffee,Kopi Rakyat,1,0.0,20000.0,Dine In,Cash
Agus Salim,TSBZNV,1/2/2023,19:58:15,Signature Coffee,Kopi Sultan,1,0.0,32000.0,Dine In,Cash
Agus Salim,TSBZNW,1/2/2023,19:59:47,Milk Based,Thai Tea,1,0.0,25000.0,Dine In,Cash
